idHerba;nom_comu;noms_comuns_coneguts;nom_cientific;familia;descripcio_fulla;descripcio_tija;descripcio_flor;inflorescencia;arrels;rebrots;fruits;llavors;habitat;epoca_recollida;remeis;receptes;toxicitat;parts_utilitzades
38;Roser bord;Gavarnera, gavarrera, garguller.;Rosa canina;Rosàcies;Fulles compostes (5-7 folíols) de marge dentat i sense pèls.;Arbust de tiges llargues i arquejades, cobertes d agullons forts i corbats.;Flors grans, d un color rosa pàl·lid o blanques, amb cinc pètals.;Flors sovint solitàries o en petits grups.;Arrel principal profunda i moltes arrels secundàries.;Gran capacitat per treure rebrots vigorosos des de la base.;Fruit anomenat gavarró o tapacul, de forma ovalada i color vermell brillant.;Nombroses llavors dures i peludes a l interior del gavarró.;Marges de camins, tanques i clarianes de bosc arreu del Montseny.;"Flors a la primavera; fruits a la tardor (després de les primeres glaçades).";Els fruits són una de les fonts naturals més riques en Vitamina C. Antidiarreic.;Melmelada de gavarró (cal colar bé els pèls irritants de l interior). Te de tapaculs.;"Els pèls de l interior del fruit són irritants per a la pell i la mucosa digestiva (""pica-pica"").";gavarrera, flor, fulla
39;Vulnerària;Herba de la ferida, llet de gallina.;Anthyllis vulneraria;Fabàcies;"Fulles compostes, amb el folíol terminal molt més gran que els laterals; sovint amb pèls fins.";Tiges de fins a 30 cm, sovint prostrades o ascendents, piloses.;Flors papilionàcies (forma de papallona) grogues, taronges o vermelloses, amb un calze molt inflat i pelut.;Glomèruls (caps florals) densos a l extrem de les tiges, sovint de dos en dos.;Arrel pivotant forta que penetra bé en sòls pedregosos.;Planta perenne o bianual que rebrota de la base.;Llegum petit, ovoide, tancat dins del calze persistent i inflat.;Llavor única de color groguenc o verdós.;Prats secs, talussos i llocs assolellats del Montseny, sobretot en zones calcàries.;Primavera i estiu, durant la floració.;Com indica el seu nom, és excel·lent per cicatritzar ferides i talls. També per a inflamacions de la gola.;Infusió per a ús extern (compreses sobre ferides) o gargarismes.;No presenta toxicitat notable en ús tòpic.;parts aèries
40;Romaní;Romer, herba de les coronetes.;Rosmarinus officinalis;Lamiàcies;Fulles lineals, dures, amb el marge revolut (girat cap avall), verdes a l anvers i blanques/peludes al revers.;Tija quadrada de jove, es torna llenyosa i amb l escorça esquerdada amb l edat.;Flors bilabiades de color blau clar, amb els estams que sobresurten clarament.;Petits raïms axil·lars repartits al llarg de les branques.;Sistema radicular molt estès i llenyós.;Capacitat alta de rebrotar des de la fusta vella.;Tetraqueni (4 petites núcules).;Llavors ovoides molt petites.;Matollars assolellats, vessants rocosos i boscos aclarits.;Tot l any, però especialment durant la floració (primavera i tardor).;Estimulant de la circulació, tònic digestiu i excel·lent per al reuma i el cansament muscular.;Alcohol de romaní per a fregar. Condiment clau en la cuina mediterrània (carn de caça, xai).;Evitar l oli essencial intern durant l embaràs o en persones amb epilèpsia.;summitat florida
41;Farigola;Timonet, tomillo, herba de l erosió.;Thymus vulgaris;Lamiàcies;Fulles molt petites, ovals i amb els marges girats cap avall. Molt aromàtiques.;Subarbust tòrtuos, molt ramificat i llenyós a la base.;Flors molt petites, blanques o rosades, amb el calze pelut.;Capítols terminals arrodonits.;Arrel llenyosa i molt ramificada que fixa bé el sòl.;Rebrota bé si no es talla la part llenyosa més baixa.;Tetraqueni.;Llavors gairebé microscòpiques.;Terrenys secs i assolellats, llocs pedregosos de baixa i mitja muntanya.;A la primavera (abril-maig), en plena floració.;L antibiòtic natural per excel·lència. Digestiva, antitussígena i antisèptica potent.;Sopa de farigola (pa, aigua, oli d oliva i farigola). Infusió per a mal de gola.;"L oli essencial de farigola (timol) és molt potent; cal usar-lo amb molta precaució.";summitat florida
42;Tarongina;Melissa, herba llimonera, abellera.;Melissa officinalis;Lamiàcies;Fulles ovades, amb el marge serrat i nervadures molt marcades. Fan una olor de llimona molt característica en fregar-les.;Tija quadrada, erecta i molt pilosa.;Flors petites, blanques o rosades, amb el calze campanulat.;Verticil·lastres axil·lars situats a la base de les fulles superiors.;Rizoma curt i reptant amb moltes arrels fines.;Planta perenne que rebrota cada primavera des del rizoma.;Tetraqueni amb núcules ovoides.;Llavors negres i brillants.;Llocs frescos, ombrívols, prop de masies, torrents i horts del Montseny.;A l estiu, just abans o durant la floració.;Sedant suau, antiespasmòdica i digestiva. Molt útil per a l ansietat i els dolors d estómac nerviosos. Antivíriques i antimigranyoses;Aigua de melissa (esperit de melissa). Infusió de fulles fresques (conserven millor l aroma de llimona).;En general és segura, però pot interferir amb medicaments per al tiroides.;fulla, summitat florida
43;Malrubí;Marrubí, herba de Santa Maria.;Marrubium vulgare;Lamiàcies;Fulles gairebé rodones, rugoses, amb el marge festonejat i cobertes d una densa vellositat blanca que els dóna un aspecte llanós.;Tija quadrada, molt robusta i coberta de pèls blancs espessos.;Flors blanques i petites, amb un calze que té 10 dents ganxudes.;Verticil·lastres globosos molt densos a l axil·la de les fulles.;Arrel llenyosa i eixamplada.;Rebrota cada any des de la base llenyosa.;Tetraqueni amb quatre núcules ovoides.;Llavors menudes de color bru.;Llocs ruderals, marges de camins pasturats i zones seques prop de corrals.;Durant la floració a la primavera i l estiu.;Una de les millors plantes per a la tos amb mucositat (expectorant). També és tònica i digestiva (molt amarga).;Caramels de malrubí per a la gola. Vi de malrubí (macerat) per obrir la gana.;L amargor pot causar molèsties en persones amb úlcera gastroduodenal.;fulla, summitat florida
44;Genciana groga;Genciana, arrel de galet.;Gentiana lutea;Gencianàcies;Fulles grans, ovals, amb nervis paral·lels molt marcats (similar a les de l el·lebor blanc, amb el qual es pot confondre).;Tija erecta, molt robusta, cilíndrica i buida per dins, que pot arribar al metre d alçada.;Flors grogues amb la corol·la dividida en 5-7 lòbuls estrets que semblen pètals independents.;Verticils densos situats a l axil·la de les fulles superiors.;Arrel molt gruixuda (fins a 5 cm de diàmetre), llarga i de color groguenc per dins.;Planta perenne que triga anys a florir per primer cop.;Càpsula ovoide que s obre en dues valves.;Llavors nombroses, petites i alades.;Prats alpins i subalpins del Montseny (zones altes).;L arrel a la tardor o a principis de primavera, en plantes de més de 10 anys.;L amarg més potent: obre la gana, combat la debilitat digestiva i estimula el fetge.;Vi de genciana o licors amargs (tipus Bitter). Infusió (molt amarga!).;No administrar en cas d úlcera gastroduodenal. Confusió perillosa amb Veratrum album (tòxic).;Fulles, arrels i flors.
45;Digital groga;Ditalons, didals, herba de Santa Maria.;Digitalis lutea;Escrofulariàcies;Fulles lanceolades, sense pèls (glabres), amb el marge finament dentat.;Tija erecta, esvelta i normalment simple (sense ramificar).;Flors en forma de didal (tubulars), petites i de color groc pàl·lid, amb l interior pilós.;Raïm terminal llarg on totes les flors miren cap al mateix costat (secundiflor).;Arrel curta i fibrosa.;Planta perenne que rebrota de la roseta basal.;Càpsula ovoide que conté moltes llavors.;Llavors minúscules i rugoses.;Marges de boscos humits, clarianes de fagedes i zones de muntanya mitjana.;Fulles durant la floració, però el seu ús casolà està desaconsellat.;Conté glucòsids cardíacs (digitalina) que augmenten la força del cor. Ús farmacèutic.;Cap d ús casolà segur. És una planta de maneig exclusivament mèdic.;ALTAMENT TÒXICA. Una dosi petita pot provocar arítmies mortals o aturada cardíaca.;Fulles (ús restringit a farmàcia per la seva alta toxicitat).
46;Trepó;Cua de guilla, herba blanca, candelera.;Verbascum thapsus;Escrofulariàcies;Fulles molt grans, tomentoses (cobertes d un pèl blanc i suau com el cotó) que baixen per la tija (decurrents).;Tija molt alta (fins a 2m), rígida, coberta de borra blanca i molt vistosa.;Flors grogues de cinc pètals, amb els estams peluts (pèls liles o grocs segons l espècie).;Espiga terminal molt llarga i densa, similar a una espelma.;Arrel pivotant profunda i gruixuda.;Planta bianual: el primer any fa la roseta de fulles i el segon la tija floral.;Càpsula globosa que s obre en dues valves.;Nombroses llavors molt petites.;Terrenys incultes, pedregosos, llocs assolellats i remoguts.;"Les flors a l estiu; les fulles durant el primer any.";Molt eficaç contra la tos, bronquitis i asma (suavitza les vies respiratòries).;Infusió de flors (cal colar-la molt bé amb un filtre de paper per treure els pèls irritants).;Els pèls de la planta poden irritar la pell o la gola si no es colen bé.;flor, fulla, arrel
47;Àrnica de muntanya;Herba de les caigudes, tabac de muntanya.;Arnica montana;Asteràcies;"Fulles ovals i disposades en una roseta basal arran de terra; les de la tija són més petites i oposades.";Tija erecta, pilosa i glandular, poc ramificada.;Grans capítols de color groc taronja amb els pètals (lígules) sovint d aspecte despentinat.;Capítols florals grans, normalment solitaris o en grups de tres.;Rizoma horitzontal, gruixut i de color marró.;Planta perenne que rebrota del rizoma.;Aqueni de color negre amb un plomall (papi) de pèls aspres.;Llavors allargades.;Prats acidòfils i descalcificats de les zones altes del Montseny. Molt escassa i protegida.;A l estiu (juny-juliol), durant la floració.;L herba dels cops per excel·lència. Antiinflamatòria i analgèsica potent per a contusions.;Tintura d àrnica (macerada en alcohol) per a aplicació externa. Mai sobre ferides obertes.;TÒXICA per via interna. Pot provocar inflamacions digestives greus i problemes cardíacs.;Capítols florals (flors).
48;Xicoira;Xicoira amarga, cama-roja.;Cichorium intybus;Asteràcies;Fulles basals molt dividides (dent de lleó), les superiors són més petites i abracen la tija.;Tija molt rígida, angulosa i ramificada, amb un làtex blanc a l interior.;Flors d un blau intens molt bell, que només s obren a les hores de sol.;Capítols florals asseguts (sense peduncle) al llarg de les branques.;Arrel pivotant molt llarga, gruixuda i blanca.;Rebrota amb força de la seva potent arrel.;Aqueni petit sense plomall (o amb un de molt curt).;Llavors anguloses de color bru.;Marges de camins, camps abandonats i prats secs.;"L arrel a la tardor; les fulles a la primavera.";Tònica, digestiva i depurativa del fetge. Ajuda a baixar el sucre.;Substitut del cafè (arrel torrada i molta). Amanida de xicoira (fulles tendres).;Planta segura, tot i que el seu consum excessiu pot irritar l estómac en persones sensibles.;Arrel, fulles i flors.
49;Camamilla;Camamilla mansa, camamilla de bosc.;Matricaria chamomilla;Asteràcies;Fulles molt dividides en segments lineals gairebé filiformes (com fils).;Tija erecta, molt ramificada i sense pèls.;Capítols amb el centre groc (flors tubulars) i pètals blancs (lígules) que sovint s inclinen cap avall.;Capítols solitaris a l extrem de llargs peduncles.;Arrel prima i poc profunda.;Planta anual que neix de llavor cada primavera.;Aqueni molt petit i sense plomall.;Llavors minúscules de color clar.;Camps de conreu, horts i terrenys remoguts.;A la primavera i principis d estiu, quan el capítol floral està ben obert.;Digestiva, calmant, antiinflamatòria i antisèptica. Molt bona per als dolors menstruals.;Infusió de flors seques. Compreses tèbies per a la neteja d ulls (conjuntivitis).;Molt segura, tot i que pot causar reaccions al·lèrgiques en persones sensibles a les compostes.;Capítols florals (flors).
50;All de bruixa;All d os, all de bosc.;Allium ursinum;Amaril·lidàcies (Monocotiledònies);Fulles amples, el·líptiques i peciolades, d un verd brillant. Fan una olor d all molt forta.;Tija floral de secció triangular, sense fulles.;Flors blanques en forma d estrella amb sis tèpals.;Umbel·la terminal protegida per una bràctea abans d obrir-se.;Bulb allargat i blanc, sense túniques externes dures.;Es propaga ràpidament formant grans catifes blanques al bosc.;Càpsula petita que conté poques llavors negres.;Llavors globoses.;Fagedes humides i marges de rieres del Montseny.;Primavera (abril-maig), abans que les fulles s assequin.;Hipotensor, antibiòtic i depuratiu de la sang. Més potent que l all comú.;Pesto d all de bosc (amb les fulles). Fulles picades en amanida o mantega d herbes.;Atenció: les fulles es poden confondre amb les del Maiguet (Convallaria), que és molt tòxic. Cal olorar-les!;Bulbs i, ocasionalment, les flors.
51;Lliri blau;Lliri de Sant Josep, iris.;Iris germanica;Iridàcies (Monocotiledònies);Fulles en forma d espasa (ensiformes), planes, rígides i disposades en forma de ventall.;Tija floral erecta, robusta, que sobresurt de les fulles.;"Grans flors de color blau purpuri o lila, amb tres pètals caiguts que tenen una ""barba"" groga.";Flors solitàries o en petits grups al capdamunt de la tija.;Rizoma gruixut, horitzontal i carnós que creix arran de terra.;Es multiplica fàcilment per divisió dels rizomes.;Càpsula gran i allargada que s obre en tres valves.;Llavors dures i marronoses.;Prop de masies antigues, talussos i roques assolellades.;El rizoma a l estiu o tardor, quan la planta està en repòs.;El rizoma sec s usava per facilitar la dentició dels nens i com a purgant. Expectorant.;Ús principal en perfumeria (fixador de perfums). No s acostuma a ingerir a casa.;El rizoma fresc és molt irritant per a les mucoses i pot provocar vòmits i diarrees.;Fulles i fruits (baies).
52;Cua de cavall grossa;Cua de cavall de riera, asprella.;Equisetum telmateia;Equisetàcies;Fulles reduïdes a beines amb 20-40 dents fines al voltant dels nusos de la tija.;Molt més gran que la petita (fins a 1.5m). Tiges estèrils de color blanc ivori amb moltes branques verdes. Tiges fèrtils gruixudes i marrons.;No en té.;Estròbil terminal gran i massís a la tija fèrtil.;Rizomes carnosos, negres i molt extensos.;Rebrota amb molta força en ambients molt humits.;Espores.;Microscòpiques.;Rieres, fonts i talussos on l aigua brolla constantment.;Tiges verdes a l estiu.;Remineralitzant, diürètica, hemostàtica.;Decocció per aplicar com a fungicida a les plantes de l hort.;"Conté tiaminasa; no ingerir en grans quantitats ni durant períodes llargs.";tija estèril
53;Falguera mascle;Falguera de bosc, herba de pàncrees.;Dryopteris filix-mas;Driopteridàcies;"Frondes grans (fins a 1m), dividides dues vegades, grans fulles pinnades que neixen en forma de ""crossa"" (crosier) cobertes d escates marrons.";Tija o pecíol cobert d escates marrons (pàlees) molt visibles a la base. Rizoma gruixut i escatós.;No en té.;Sorus rodons al revers de la fulla, coberts per una membrana en forma de ronyó.;Arrels adventícies. Rizoma gruixut, horitzontal i ple de restes de les tiges d anys anteriors.;Perenne, les frondes neixen cada primavera de la corona del rizoma.;Espores. No en té.;Espores microscòpiques.;Fondals humits, fagedes i castanyedes ombrívoles del Montseny.;El rizoma a la tardor.;Històricament usat per eliminar paràsits intestinals (tènies). Molt potent.;Maceració del rizoma (ús històric, avui dia gairebé abandonat per perillositat).;TÒXICA. Una dosi mal calculada pot causar ceguesa o paràlisi respiratòria. Ús prohibit a casa.;rizoma, base de la fronda, gemma apical
54;Ginebre;Ginebró, ginebre comú.;Juniperus communis;Cupressàcies;Fulles aciculars (agulles) punxants, amb una sola banda blanca (estomàtica) a la cara superior, disposades en verticils de tres.;Arbust molt ramificat, d escorça fibrosa bruna-grisenca que s'esqueixa en tires fines.;"Planta dioica. Flors masculines: groguenques en aments; femenines:verdes molt petites formades per escates carnoses.";Cons petits.;Arrel principal forta i ramificacions que s adapten a terrenys pedregosos (sòls pobres).;Rebrota bé i aguanta condicions climàtiques extremes.;Gàlbul (baies,fals fruit) carnos, verd el primer any i blau fosc/negre quan madura al segon any.;Tres llavors dures dins de cada gàlbul.;Vores de bosc, prats alpins i matollars secs del Montseny.;Fruits madurs (negres) a la tardor.;Diürètic, digestiu i antisèptic urinari. Ajuda a eliminar àcid úric.;Ginebra (destil·lat). Condiment per a carns de caça. Infusió de gàlbuls per a fregues.;Evitar en cas d insuficiència renal o embaràs. L'oli essencial pot irritar el ronyó en dosis altes.;fulla, gàlbul, escorça, essència
55;Herba de Sant Joan;Herba foradada, pericó, santjoans.;Hypericum perforatum;Hipericàcies;Fulles petites amb punts translúcids (glàndules d oli) que semblen forats si es miren al contrallum.;Tija amb dues línies longitudinals ressaltades, sovint rogenca.;Flors grogues amb cinc pètals que tenen punts negres als marges. Molts estams.;Cimes terminals flairoses.;Rizoma ramificat i arrels profundes.;Rebrota cada any des de la base.;Càpsula ovoide que s obre en tres parts.;Llavors cilíndriques de color marró fosc.;Marges de camins i prats secs assolellats.;Pels volts de Sant Joan (24 de juny), en plena floració.;Antidepressiu suau i, sobretot, excel·lent cicatritzant i antiinflamatori cutani.;Oli de Sant Joan (maceració de flors en oli al sol durant 40 dies fins que es torna vermell).;Fotosensibilitzant: no exposar-se al sol després d aplicar l oli. Interacciona amb molts medicaments.;Sumitats florides (flors i fulles superiors).
56;Avet;Avet blanc, sapí.;Abies alba;Pinàcies;Fulles lineals, planes, no punxants, amb dues línies blanques molt clares al revers. Disposades com les dents d una pinta (pinnades).;Arbre gran de tronc dret i escorça grisenca i llisa, que s esquerda en exemplars vells.;"Flors masculines groguenques a la part inferior de les branques; femenines verdoses  i dretes a la part superior.";Pinyes erectes (cap amunt), a diferència dels pins que les tenen penjants.;Sistema radicular potent amb una arrel principal que penetra profundament.;No rebrotarà si es talla el tronc principal.;Pinyes cilíndriques que es desintegren a l arbre mateix en madurar.;Llavors alades, sota les escates de la pinya, que es dispersen quan la pinya es desfà.;Zones altes i ombrívoles del Montseny (fagedes i avetoses), llocs de molta humitat i fred.;Brots tendres (gemmes) a la primavera i la trementina (resina) tot l any, però especialment a la tardor.;Molt valorat per a les vies respiratòries (expectorant i balsàmic). Antisèptic urinari, rubefaent, antisèptic.;Xarop de brots d avet (macerats amb sucre). Oli essencial per a bafs.;L oli essencial pot ser irritant en dosis elevades.;gemma, fulla, escorça, resina
57;Ginesta;Ginesta de flor, ginestera.;Spartium junceum;Fabàcies;"Fulles molt escasses, petites i lineals que cauen ràpidament; la funció fotosintètica la fan les tiges.";Tiges verdes, cilíndriques, similars a joncs (junciformes), molt flexibles i resistents.;Flors papilionàcies grans, de color groc viu i una olor dolça molt intensa.;Raïms terminals llargs i molt vistosos.;Arrel molt profunda i ramificada, excel·lent per fixar talussos.;Rebrota amb molta força des de la base després d un incendi o una esporgada.;Llegum aplanat, verd de jove i negre al madurar, cobert de pèls fins.;Llavors petites, dures i brillants de color marró fosc.;Marges de camins, talussos assolellats i matollars baixos.;Les flors a la primavera (maig-juny).;Ús medicinal molt restringit. Històricament usada com a diürètica i purgant, però és perillosa.;Ús artesanal: les tiges per fer escombres i per lligar feixos. Les flors per tenyir de groc.;TÒXICA. Conté esparteïna, que afecta el cor i el sistema nerviós. No s ha d ingerir mai a casa.;flor, llavor
58;Marxívol;El·lèbor pudent, herba de ballesta.;Helleborus foetidus;Ranunculàcies;Fulles coriàcies, dividides en segments estrets en forma de mà, de color verd fosc.;Tija robusta, de color verd clar, que sosté les flors a l hivern.;Flors en forma de campana, verdes amb el marge sovint de color vermell-purpuri.;Cimes penjants molt ramificades.;Rizoma curt i negre amb arrels gruixudes.;Planta perenne que manté les fulles durant l hivern.;Fol·licles (fruits secs) que contenen diverses llavors.;Llavors negres amb un apèndix que atrau les formigues.;Alzinars, marges de boscos i llocs pedregosos de muntanya mitjana.;Tota la planta, però és extremadament perillosa.;Antigament usada per combatre paràsits i com a purgant dràstic. Ús veterinari històric.;"Cap. El seu nom ""foetidus"" ja avisa de la seva mala olor i perillositat.";MOLT TÒXICA. Pot causar vòmits, deliris i aturada cardíaca per contacte o ingestió.;fulla, rizoma
59;Viola de llop;Hepàtica, herba de la Trinitat.;Anemone hepatica;Ranunculàcies;Fulles amb tres lòbuls sencers, de tacte coriaci, sovint amb taques clares i el revers de color violaci.;Tiges florals curtes, pèloses, que surten directament de la base abans o alhora que les fulles.;Flors precioses de color blau (a vegades blanques o rosades) amb 6-9 pètals i molts estams blancs.;Flors solitàries al capdamunt d una tija sense fulles.;Rizoma curt i fibrós de color fosc.;Perenne, és de les primeres a florir al bosc quan encara fa fred.;Poliaqueni (petits fruits secs agrupats).;Llavors amb un apèndix carnos per a la dispersió per formigues.;Fagedes, alzinars i rouredes amb sòl ric en humus.;A finals d hivern o principis de primavera.;Antigament usada per a problemes de fetge (per la forma de la fulla). Diürètica i vulnerable.;Actualment gairebé no s usa per via interna per precaució.;Com totes les ranunculàcies, conté substàncies irritants que desapareixen en assecar-se la planta.;fulla
60;Espí negre;Aranyoner, aranyó.;Prunus spinosa;Rosàcies;Fulles petites, ovals, finament dentades i de color verd fosc.;Arbust molt intricat i espinós, amb l escorça de les branques velles gairebé negra.;Flors blanques, petites, que apareixen en gran abundància abans que les fulles.;Flors generalment solitàries o en parelles al llarg de les branques.;Sistema radicular molt extens que emet molts rebrots de soca.;Forma bardisses impenetrables gràcies a la seva capacitat de rebrotar.;Drupa globosa (aranyó) de color blau fosc o negre, coberta d una pols cerosa blanquinosa.;Un sol pinyol molt dur al seu interior.;Marges de boscos i camins, tanques vives.;"Les flors a la primavera; els fruits (aranyons) a la tardor després de la primera gelada.";Les flors són laxants suaus i diürètiques. El fruit és molt astringent.;Licor de Patxaran (maceració d aranyons en aiguardent anisat).;"El pinyol conté precursors de l àcid cianhídric; no s ha de trencar ni ingerir.";fruit, fulla, flor, escorça
61;Llorer-cirer;Llorer reial, llorer de jardí, llorer-cirerer.;Prunus laurocerasus;Rosàcies;Fulles perennes, grans (fins a 15 cm), oblongues, d un verd fosc brillant i coriàcies. No fan olor de llorer en fregar-les.;Arbust o arbre petit de creixement ràpid, molt ramificat, amb escorça fosca i llisa.;Flors petites i blanques amb cinc pètals i nombrosos estams.;Raïms erectes i allargats que neixen a l axil·la de les fulles.;Sistema radicular extens i superficial.;Rebrota amb molta facilitat i té un caràcter invasor en boscos humits.;Drupa petita i globosa, similar a una cirera petita, que passa del verd al negre brillant en madurar.;Un pinyol únic que conté precursors de cianur.;Originari d Àsia, però molt estès en jardins i naturalitzat en zones fresques i humides.;No s ha de recollir per a ús alimentari ni medicinal casolà.;Antigament s usava l aigua de llorer-cirer com a antiespasmòdic, però és extremadament perillós.;Cap. El seu ús en cuina està totalment prohibit.;MOLT TÒXICA. Tota la planta (especialment les fulles i les llavors) conté heteròsids cianogènics que alliberen àcid cianhídric (cianur) en ser digerits.;Fulles fresques (ús molt controlat per toxicitat).
62;Falzia comuna;Capil·lera, herba de la tos;Adiantum capillis-veneris;Pteridàcies;Frondes delicades, dividides en segments en forma de ventall amb el marge superior lobulat.;"Rizoma reptant amb escames brunes; pecíols fins, negres i brillants.";No en té.;Sorus situats a la vora del revers dels segments de la fulla.;Arrels fines que neixen del rizoma.;Rebrota anualment de les fissures de les roques.;No té fruits.;Espores.;Fonts, parets humides on degota l'aigua i balmes ombrívoles.;Tot l any, però preferiblement a la primavera.;Bèquica, expectorant, emol·lient, antiinflamatòria.;Xarop de capil·lera (bullint les fulles amb sucre o mel).;Sense toxicitat notable a dosis normals.;parts aèries
63;Llengua de cérvol;Herba de la melsa;Phyllitis scolopendrium;Aspleniàcies;Fulles senceres, llargues i de forma lanceolada.;Pecíol curt i pilós.;No en té.;Sorus lineals en parelles al revers.;Rizoma dret.;Creix de forma perenne a partir d'un rizoma curt i escatós.;No en té.;Espores.;Fonts i llocs molt humits.;Primavera.;Hipotensora, vulnerària.;Ús extern per a ferides.;"Sense toxicitat notable; el seu consum en cru pot contenir tiaminasa.";parts aèries
64;Polipodi;Regalèssia de bosc, herba del tals;Polypodium vulgare;Polipodiàcies;Fulles dividides de forma pinnada amb segments alterns.;Rizoma reptant, dolç al gust.;No en té.;Sorus circulars de color taronja al revers.;Arrels fines.;Es propaga fàcilment mitjançant el seu rizoma reptant i ramificat.;No en té.;Espores.;Roques humides, murs i troncs d'arbres amb molsa.;Tardor i hivern.;Colagog, laxant, expectorant, vermífug, edulcorant.;Mastegar el rizoma sec per a la tos.;"Segura en dosis moderades; el rizoma pot tenir un efecte laxant.";rizoma
65;Pícea;Avet roig, picea d'Escandinàvia;Picea abies;Pinàcies;Aciculars, de secció quadrangular, punxents, disposades al voltant de la branca.;"Port piramidal amb branques penjants; escorça bruna-vermellosa.";Cons masculins petits i vermells que tornen grocs.;Inflorescències en con.;Arrels superficials (molt sensible al vent).;No té capacitat de rebrot de soca si es talla la guia principal o branques baixes.;Pinyes penjants, allargades, que cauen senceres.;Petites i alades.;Muntanya, sovint plantada per reforestació.;Tot l'any.;Antibiòtica, balsàmica, expectorant, antireumàtica, sedant.;Banys de bosc o bafs amb les acícules.;"Generalment segura; l'oli essencial pot irritar pells sensibles.";gemma, escorça, resina
66;Pinastre;Pi pinastre, pi de mesurar, pi negral;Pinus pinaster;Pinàcies;Aciculars, molt llargues (10-25 cm) i gruixudes, de color verd fosc.;Escorça molt gruixuda, clivellada i de color bru-vermellós fosc.;Aments masculins grocs i cilíndrics.;Cons ovals molt grans.;Molt resistent, amb arrels potents.;"No rebrotarà de soca; es reprodueix exclusivament per llavors (pinyes).";Pinyes grans (10-22 cm), brillants i persistents.;Piula o binyola: petita llavor amb una ala llarga per a la dispersió pel vent.;Sòls silícics, des de la línia de costa fins a la muntanya.;Tot l'any.;Antihemorràgic, acció vitamínica P, expectorant, antisèptic respiratori, desinfectant urinari, rubefaent.;Extracció de trementina i essències.;"Baixa toxicitat; la resina pot causar reaccions al·lèrgiques de contacte.";gemma, escorça, fulla, resina
67;Càdec;Ginebre oxicedre, ginebre de la mola;Juniperus oxycedrus;Cupressàcies;Aciculars, rígides i punxents, amb dues línies blanques (estomes) ben marcades a l'anvers.;Arbust o arbret amb escorça bruna que s'esqueixa en tires.;"Dioica; flors masculines grogues i femenines verdoses.";Aments axil·lars.;Arrels potents capaces de créixer entre roques.;"Capacitat limitada de rebrotar de soca; creixement molt lent.";Gàlbuls carnosos grans (8-15 mm), de color vermell-brunenc en madurar.;Llavors ovoides i dures (generalment 3) protegides dins del gàlbul (baia).;Llocs secs, garrigues i vessants pedregosos assolellats.;Tardor (fruits).;Antisarnós, pediculicida, antipsoriàsic, antieczematós.;Oli de càdec (per destil·lació seca de la fusta) per a ús cutani.;L'oli de càdec pur és irritant i no s'ha d'ingerir mai.;oli de càdec
68;Vidalba;Vidreula, herba dels capcers;Clematis vitalba;Ranunculàcies;Fulles oposades, compostes, amb 3-5 folíols ovals i dentats.;"Liana llenyosa molt llarga que s'enfila als arbres; escorça que s'esqueixa longitudinalment.";Flors blanques-verdoses, flairoses, amb molts estams visibles.;Cimes paniculades terminals o axil·lars.;Arrels profundes i molt ramificades.;Rebrota amb molta força de les tiges llenyoses i de la base.;Aquenis amb una llarga cua plomosa de color blanc-grisenc (molt característics a l'hivern).;Dins de l'aqueni plomós.;Bardisses, marges de boscos humits i rieres.;Estiu (floració).;Rubefaent, analgèsica.;S'havia usat per produir llagues artificials (herba dels pobres/capcers) o per al reuma via externa.;MOLT IRRITANT. El suc fresc provoca butllofes i nafres a la pell.;fulla
69;Gatassa;Herba de les morenes, ficària;Ranunculus ficaria;Ranunculàcies;Fulles en roseta basal, amb forma de cor (cordiformes), carnoses i amb pecíol llarg.;Tiges curtes i reptants.;Flors de color groc viu i brillant, amb 8-12 pètals estrets.;Flors solitàries terminals.;Arrels tuberoses que semblen petits tubercles.;Rebrota cada primavera gràcies als seus tubercles subterranis.;Poliaqueni.;Petites.;Llocs molt humits, vores de rierols i prats de dall frescals.;Primavera.;Antihemorroïdal, vulnerària.;Ús extern en pomades per a les morenes (hemorroides).;Tòxica per ingestió interna, especialment quan la planta ja és vella o florida.;arrels tuberoses, fulla
70;Herba de Sant Benet;Gariola, herba de l'oblit;Geum urbanum;Rosàcies;"Fulles basals en roseta; les de la tija són trifoliades amb estípules grans.";Erecta, ramificada i vellosa.;Petites, grogues, amb 5 pètals ben separats.;Flors solitàries o en cimes laxes.;Rizoma curt i gruixut que fa olor de clau d'espècia.;Planta vivaç que rebrota de la base cada primavera.;Poliaqueni amb ganxos vermellosos.;Dins dels aquenis.;Llocs ombrívols, vores de camins i boscos de ribera.;Primavera (rizoma).;Astringent, antidiarreica, aperitiva, tònica general, sudorífera, antipirètica, vulnerària.;Vi de Sant Benet (maceració del rizoma).;"Segura en dosis normals; conté eugenol que en excés podria ser irritant.";arrel, rizoma
